GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",63917,69645,73040,82399,90841,92501,103635,118859,129372,138397,154861,166405,152031,162561,163125,167587,173717,174245,195562,195890,201377
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",49372,53634,60473,59257,63085,67001,110098,(D),94660,99961,115646,101330,102806,104016,110673,113316,122672,118325,116110,(D),103457
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",(D),20756,(D),(D),(D),(D),(D),75189,66900,66571,80029,67022,68291,70209,75731,74537,76218,79776,74276,66188,69265
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),4638,7328,9308,9208,8695,(D),(D),(D),(D),(D),2995,(D),3226
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",29943,(D),33955,27251,27964,30872,24620,23581,23122,26062,26310,25100,25820,(D),(D),(D),(D),(D),38840,37717,30966
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",77184,81447,86253,92989,97673,104356,110976,121867,119877,124669,134054,139627,138041,136381,137776,143766,151707,154739,157536,161762,167775
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1062,1025,(D),4119,4427,5068,5700,5639,(D),6004,(D),6832,7826,8543,9378,10274,10865,11232,12375,10567,10378
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",76122,80422,(D),88870,93246,99288,105277,116228,(D),118665,(D),132795,130216,127838,128398,133493,140842,143507,145161,151195,157397
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",21810,23310,24316,24294,24423,28033,30465,34201,36051,36569,36266,35657,35974,38337,41288,45513,49000,52165,61750,61642,76566
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",2678,2568,2561,2415,2256,2690,2702,2376,2527,2693,2770,3009,2877,3649,3855,5017,6743,7185,5711,3946,4827
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",19132,20742,21755,21879,22166,25343,27763,31825,33524,33875,33495,32647,33097,34688,37433,40496,42257,44980,56039,57696,71739
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",47273,54341,55848,56349,64102,69549,29818,29025,30111,32497,32563,34109,33187,35138,36157,35615,36824,39501,43422,42298,43951
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",180638,211539,232296,255916,294339,322024,346681,386006,428120,439686,452887,457087,495709,541579,575272,617475,653756,714475,747674,801573,838650
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",25212,33348,28625,42946,70529,58604,96493,(D),83118,114047,98077,74714,75906,96701,59815,59800,75483,102406,93723,(D),(D)
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",109099,110541,112477,107998,117209,127508,132942,138893,130198,130848,138296,141173,152600,154436,146697,133731,136516,150041,163365,164365,186912
 "10220","Ada, OK (Micropolitan Statistical Area)", ,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",12826,12275,14145,21146,25306,28718,25636,(D),30773,33549,42169,44796,40257,41163,52851,75018,71849,76571,69546,(D),(D)
